bundler, components, iteration, children, depth, styles, time, bundle_size, success
webpack-swc,40,0,3,3,true,2.75,210032,true
webpack-swc,40,1,3,3,true,2.7,210032,true
webpack-swc,40,2,3,3,true,2.74,210032,true
vite,40,0,3,3,true,0.93,162244,true
vite,40,1,3,3,true,0.93,162244,true
vite,40,2,3,3,true,0.93,162244,true
esbuild,364,0,3,5,true,0.19,390942,true
esbuild,364,1,3,5,true,0.19,390942,true
esbuild,364,2,3,5,true,0.19,390942,true
parcel,364,0,3,5,true,4.09,511463,true
parcel,364,1,3,5,true,4.08,511463,true
parcel,364,2,3,5,true,4.03,511463,true
parcel-css,364,0,3,5,true,4.02,509651,true
parcel-css,364,1,3,5,true,4.02,509651,true
parcel-css,364,2,3,5,true,4.01,509651,true
rollup,364,0,3,5,true,9.79,427838,true
rollup,364,1,3,5,true,9.96,427838,true
rollup,364,2,3,5,true,9.8,427838,true
rollup-terser,364,0,3,5,true,10.19,428226,true
rollup-terser,364,1,3,5,true,10.16,428226,true
rollup-terser,364,2,3,5,true,10.21,428226,true
webpack,364,0,3,5,true,11.57,712780,true
webpack,364,1,3,5,true,11.56,712780,true
webpack,364,2,3,5,true,11.58,712780,true
webpack-esbuild,364,0,3,5,true,4.86,386769,true
webpack-esbuild,364,1,3,5,true,4.79,386769,true
webpack-esbuild,364,2,3,5,true,4.77,386769,true
webpack-swc,364,0,3,5,true,10.39,887678,true
webpack-swc,364,1,3,5,true,10.41,887678,true
webpack-swc,364,2,3,5,true,10.42,887678,true
vite,364,0,3,5,true,1.89,405404,true
vite,364,1,3,5,true,1.87,405404,true
vite,364,2,3,5,true,1.83,405404,true
esbuild,6,0,5,1,true,0.17,136602,true
esbuild,6,1,5,1,true,0.16,136602,true
esbuild,6,2,5,1,true,0.16,136602,true
parcel,6,0,5,1,true,1.78,140763,true
parcel,6,1,5,1,true,1.73,140763,true
parcel,6,2,5,1,true,1.75,140763,true
parcel-css,6,0,5,1,true,1.73,140741,true
parcel-css,6,1,5,1,true,1.71,140741,true
parcel-css,6,2,5,1,true,1.71,140741,true
rollup,6,0,5,1,true,3.48,133055,true
rollup,6,1,5,1,true,3.47,133055,true
rollup,6,2,5,1,true,3.5,133055,true
rollup-terser,6,0,5,1,true,3.04,136664,true
rollup-terser,6,1,5,1,true,3,136664,true
rollup-terser,6,2,5,1,true,3.04,136664,true
webpack,6,0,5,1,true,3.05,143052,true
webpack,6,1,5,1,true,3,143052,true
webpack,6,2,5,1,true,3.11,143052,true
webpack-esbuild,6,0,5,1,true,1.93,132527,true
webpack-esbuild,6,1,5,1,true,1.93,132527,true
webpack-esbuild,6,2,5,1,true,1.92,132527,true
webpack-swc,6,0,5,1,true,1.98,139412,true
webpack-swc,6,1,5,1,true,1.93,139412,true
webpack-swc,6,2,5,1,true,1.97,139412,true
vite,6,0,5,1,true,0.81,137177,true
vite,6,1,5,1,true,0.8,137177,true
vite,6,2,5,1,true,0.81,137177,true
esbuild,156,0,5,3,true,0.18,241612,true
esbuild,156,1,5,3,true,0.18,241612,true
esbuild,156,2,5,3,true,0.17,241612,true
parcel,156,0,5,3,true,2.73,294159,true
parcel,156,1,5,3,true,2.81,294159,true
parcel,156,2,5,3,true,2.69,294159,true
parcel-css,156,0,5,3,true,2.72,293387,true
parcel-css,156,1,5,3,true,2.78,293387,true
parcel-css,156,2,5,3,true,2.72,293387,true
rollup,156,0,5,3,true,6.43,255006,true
rollup,156,1,5,3,true,6.45,255006,true
rollup,156,2,5,3,true,6.47,255006,true
rollup-terser,156,0,5,3,true,6.27,257264,true
rollup-terser,156,1,5,3,true,6.33,257264,true
rollup-terser,156,2,5,3,true,6.35,257264,true
webpack,156,0,5,3,true,6.87,378285,true
webpack,156,1,5,3,true,6.81,378285,true
webpack,156,2,5,3,true,6.92,378285,true
webpack-esbuild,156,0,5,3,true,3.24,237439,true
webpack-esbuild,156,1,5,3,true,3.36,237439,true
webpack-esbuild,156,2,5,3,true,3.28,237439,true
webpack-swc,156,0,5,3,true,5.32,451308,true
webpack-swc,156,1,5,3,true,5.29,451308,true
webpack-swc,156,2,5,3,true,5.46,451308,true
vite,156,0,5,3,true,1.26,247962,true
vite,156,1,5,3,true,1.26,247962,true
vite,156,2,5,3,true,1.25,247962,true
esbuild,3906,0,5,5,true,0.49,2933119,true
esbuild,3906,1,5,5,true,0.48,2933119,true
esbuild,3906,2,5,5,true,0.51,2933119,true
parcel,3906,0,5,5,true,67.92,4173515,true
parcel,3906,1,5,5,true,68.29,4173515,true
parcel,3906,2,5,5,true,67.82,4173515,true
parcel-css,3906,0,5,5,true,68.8,4153993,true
parcel-css,3906,1,5,5,true,68.95,4153993,true
parcel-css,3906,2,5,5,true,69.37,4153993,true
rollup,3906,0,5,5,true,80.88,3350716,true
rollup,3906,1,5,5,true,82.02,3350716,true
rollup,3906,2,5,5,true,81.38,3350716,true
rollup-terser,3906,0,5,5,true,81.55,3319242,true
rollup-terser,3906,1,5,5,true,80.88,3319242,true
rollup-terser,3906,2,5,5,true,80.78,3319242,true
webpack,3906,0,5,5,true,87.65,6418093,true
webpack,3906,1,5,5,true,90.35,6418093,true
webpack,3906,2,5,5,true,88.46,6418093,true
webpack-esbuild,3906,0,5,5,true,30.91,2908245,true
webpack-esbuild,3906,1,5,5,true,31.26,2908245,true
webpack-esbuild,3906,2,5,5,true,30.88,2908245,true
webpack-swc,3906,0,5,5,true,307.36,8320945,true
webpack-swc,3906,1,5,5,true,313.36,8320945,true
webpack-swc,3906,2,5,5,true,318.92,8320945,true
vite,3906,0,5,5,true,11.25,3065036,true
vite,3906,1,5,5,true,11.4,3065036,true
vite,3906,2,5,5,true,11.31,3065036,true
esbuild,8,0,7,1,true,0.17,137984,true
esbuild,8,1,7,1,true,0.17,137984,true
esbuild,8,2,7,1,true,0.17,137984,true
parcel,8,0,7,1,true,1.81,142777,true
parcel,8,1,7,1,true,1.81,142777,true
parcel,8,2,7,1,true,1.83,142777,true
parcel-css,8,0,7,1,true,1.81,142745,true
parcel-css,8,1,7,1,true,1.75,142745,true
parcel-css,8,2,7,1,true,1.78,142745,true
rollup,8,0,7,1,true,3.54,134663,true
rollup,8,1,7,1,true,3.55,134663,true
rollup,8,2,7,1,true,3.52,134663,true
rollup-terser,8,0,7,1,true,3.14,138250,true
rollup-terser,8,1,7,1,true,3.1,138250,true
rollup-terser,8,2,7,1,true,3.1,138250,true
webpack,8,0,7,1,true,3.11,146136,true
webpack,8,1,7,1,true,3.11,146136,true
webpack,8,2,7,1,true,3.08,146136,true
webpack-esbuild,8,0,7,1,true,1.98,133901,true
webpack-esbuild,8,1,7,1,true,1.99,133901,true
webpack-esbuild,8,2,7,1,true,1.96,133901,true
webpack-swc,8,0,7,1,true,2.04,143532,true
webpack-swc,8,1,7,1,true,2.02,143532,true
webpack-swc,8,2,7,1,true,2.02,143532,true
vite,8,0,7,1,true,0.82,138629,true
vite,8,1,7,1,true,0.83,138629,true
vite,8,2,7,1,true,0.83,138629,true
esbuild,400,0,7,3,true,0.19,412493,true
esbuild,400,1,7,3,true,0.19,412493,true
esbuild,400,2,7,3,true,0.19,412493,true
parcel,400,0,7,3,true,4.31,543295,true
parcel,400,1,7,3,true,4.21,543295,true
parcel,400,2,7,3,true,4.33,543295,true
parcel-css,400,0,7,3,true,4.21,541303,true
parcel-css,400,1,7,3,true,4.17,541303,true
parcel-css,400,2,7,3,true,4.15,541303,true
rollup,400,0,7,3,true,10.33,453456,true
rollup,400,1,7,3,true,10.46,453456,true
rollup,400,2,7,3,true,10.63,453456,true
rollup-terser,400,0,7,3,true,10.74,453516,true
rollup-terser,400,1,7,3,true,10.77,453516,true
rollup-terser,400,2,7,3,true,10.79,453516,true
webpack,400,0,7,3,true,12.55,766008,true
webpack,400,1,7,3,true,12.33,766008,true
webpack,400,2,7,3,true,12.34,766008,true
webpack-esbuild,400,0,7,3,true,4.98,408315,true
webpack-esbuild,400,1,7,3,true,5.01,408315,true
webpack-esbuild,400,2,7,3,true,5.02,408315,true
webpack-swc,400,0,7,3,true,11.53,958904,true
webpack-swc,400,1,7,3,true,11.43,958904,true
webpack-swc,400,2,7,3,true,11.42,958904,true
vite,400,0,7,3,true,1.99,428354,true
vite,400,1,7,3,true,1.96,428354,true
vite,400,2,7,3,true,1.98,428354,true
esbuild,19608,0,7,5,true,1.94,14287619,true
esbuild,19608,1,7,5,true,1.99,14287619,true
esbuild,19608,2,7,5,true,2.02,14287619,true
parcel,19608,0,7,5,true,2518.63,20397209,true
parcel,19608,1,7,5,true,2485.41,20397209,true
parcel,19608,2,7,5,true,2501.33,20397209,true
parcel-css,19608,0,7,5,true,2476.34,20299177,true
parcel-css,19608,1,7,5,true,2440.19,20299177,true
parcel-css,19608,2,7,5,true,2575.04,20299177,true
rollup,19608,0,7,5,true,246.32,0,false
rollup,19608,1,7,5,true,236.82,0,false
rollup,19608,2,7,5,true,248.05,0,false
rollup-terser,19608,0,7,5,true,277.86,0,false
rollup-terser,19608,1,7,5,true,275.78,0,false
rollup-terser,19608,2,7,5,true,280.47,0,false
webpack,19608,0,7,5,true,328.23,0,false
webpack,19608,1,7,5,true,322.11,0,false
webpack,19608,2,7,5,true,324.41,0,false
webpack-esbuild,19608,0,7,5,true,129.44,0,false
webpack-esbuild,19608,1,7,5,true,133.05,0,false
webpack-esbuild,19608,2,7,5,true,128.3,0,false
webpack-swc,19608,0,7,5,true,154.74,0,false
webpack-swc,19608,1,7,5,true,139.39,0,false
webpack-swc,19608,2,7,5,true,136.04,0,false
vite,19608,0,7,5,true,105.38,14890592,true
vite,19608,1,7,5,true,98.03,14890592,true
vite,19608,2,7,5,true,97.49,14890592,true
esbuild,10,0,9,1,true,0.18,139367,true
esbuild,10,1,9,1,true,0.17,139367,true
esbuild,10,2,9,1,true,0.18,139367,true
parcel,10,0,9,1,true,2,144793,true
parcel,10,1,9,1,true,1.99,144793,true
parcel,10,2,9,1,true,2,144793,true
parcel-css,10,0,9,1,true,1.9,144751,true
parcel-css,10,1,9,1,true,1.86,144751,true
parcel-css,10,2,9,1,true,1.76,144751,true
rollup,10,0,9,1,true,3.59,136271,true
rollup,10,1,9,1,true,3.61,136271,true
rollup,10,2,9,1,true,3.61,136271,true
rollup-terser,10,0,9,1,true,3.22,139836,true
rollup-terser,10,1,9,1,true,3.12,139836,true
rollup-terser,10,2,9,1,true,3.2,139836,true
webpack,10,0,9,1,true,3.15,149214,true
webpack,10,1,9,1,true,3.18,149214,true
webpack,10,2,9,1,true,3.13,149214,true
webpack-esbuild,10,0,9,1,true,1.98,135275,true
webpack-esbuild,10,1,9,1,true,1.97,135275,true
webpack-esbuild,10,2,9,1,true,1.95,135275,true
webpack-swc,10,0,9,1,true,2.08,147652,true
webpack-swc,10,1,9,1,true,2.05,147652,true
webpack-swc,10,2,9,1,true,2.1,147652,true
vite,10,0,9,1,true,0.85,140086,true
vite,10,1,9,1,true,0.82,140086,true
vite,10,2,9,1,true,0.83,140086,true
esbuild,820,0,9,3,true,0.22,706702,true
esbuild,820,1,9,3,true,0.22,706702,true
esbuild,820,2,9,3,true,0.22,706702,true
parcel,820,0,9,3,true,7.6,971979,true
parcel,820,1,9,3,true,7.48,971979,true
parcel,820,2,9,3,true,7.71,971979,true
parcel-css,820,0,9,3,true,7.27,967887,true
parcel-css,820,1,9,3,true,7.31,967887,true
parcel-css,820,2,9,3,true,7.43,967887,true
rollup,820,0,9,3,true,17.46,795122,true
rollup,820,1,9,3,true,17.4,795122,true
rollup,820,2,9,3,true,17.37,795122,true
rollup-terser,820,0,9,3,true,17.9,791400,true
rollup-terser,820,1,9,3,true,17.94,791400,true
rollup-terser,820,2,9,3,true,17.84,791400,true
webpack,820,0,9,3,true,20.95,1429968,true
webpack,820,1,9,3,true,20.72,1429968,true
webpack,820,2,9,3,true,20.9,1429968,true
webpack-esbuild,820,0,9,3,true,7.83,702519,true
webpack-esbuild,820,1,9,3,true,7.98,702519,true
webpack-esbuild,820,2,9,3,true,8.08,702519,true
webpack-swc,820,0,9,3,true,25.84,1832708,true
webpack-swc,820,1,9,3,true,26.11,1832708,true
webpack-swc,820,2,9,3,true,26.24,1832708,true
vite,820,0,9,3,true,2.99,738938,true
vite,820,1,9,3,true,3.03,738938,true
vite,820,2,9,3,true,3.01,738938,true
