bundler, components, iteration, children, depth, styles, time, bundle_size, success
parcel,40,2,3,3,false,2.06,168991,true
parcel-css,40,0,3,3,false,2.09,168999,true
parcel-css,40,1,3,3,false,2.15,168999,true
parcel-css,40,2,3,3,false,2.03,168999,true
rollup,40,0,3,3,false,4.5,155532,true
rollup,40,1,3,3,false,4.41,155532,true
rollup,40,2,3,3,false,4.51,155532,true
rollup-terser,40,0,3,3,false,3.92,159476,true
rollup-terser,40,1,3,3,false,3.96,159476,true
rollup-terser,40,2,3,3,false,4.11,159476,true
webpack,40,0,3,3,false,4.1,172437,true
webpack,40,1,3,3,false,4.02,172437,true
webpack,40,2,3,3,false,4.03,172437,true
webpack-esbuild,40,0,3,3,false,2.35,151095,true
webpack-esbuild,40,1,3,3,false,2.35,151095,true
webpack-esbuild,40,2,3,3,false,2.3,151095,true
webpack-swc,40,0,3,3,false,2.85,204864,true
webpack-swc,40,1,3,3,false,2.86,204864,true
webpack-swc,40,2,3,3,false,2.84,204864,true
vite,40,0,3,3,false,0.98,157922,true
vite,40,1,3,3,false,1,157922,true
vite,40,2,3,3,false,0.99,157922,true
esbuild,364,0,3,5,false,0.19,349918,true
esbuild,364,1,3,5,false,0.19,349918,true
esbuild,364,2,3,5,false,0.19,349918,true
parcel,364,0,3,5,false,3.95,448187,true
parcel,364,1,3,5,false,3.71,448187,true
parcel,364,2,3,5,false,3.81,448187,true
parcel-css,364,0,3,5,false,3.72,448195,true
parcel-css,364,1,3,5,false,3.63,448195,true
parcel-css,364,2,3,5,false,3.87,448195,true
rollup,364,0,3,5,false,10.34,377958,true
rollup,364,1,3,5,false,10.38,377958,true
rollup,364,2,3,5,false,10.41,377958,true
rollup-terser,364,0,3,5,false,9.11,384170,true
rollup-terser,364,1,3,5,false,9.15,384170,true
rollup-terser,364,2,3,5,false,9.14,384170,true
webpack,364,0,3,5,false,10.2,486489,true
webpack,364,1,3,5,false,10.84,486489,true
webpack,364,2,3,5,false,10.11,486489,true
webpack-esbuild,364,0,3,5,false,4.09,336889,true
webpack-esbuild,364,1,3,5,false,4.48,336889,true
webpack-esbuild,364,2,3,5,false,4.18,336889,true
webpack-swc,364,0,3,5,false,10.92,837798,true
webpack-swc,364,1,3,5,false,10.94,837798,true
webpack-swc,364,2,3,5,false,10.54,837798,true
vite,364,0,3,5,false,1.75,363174,true
vite,364,1,3,5,false,1.81,363174,true
vite,364,2,3,5,false,1.78,363174,true
esbuild,6,0,5,1,false,0.19,136010,true
esbuild,6,1,5,1,false,0.18,136010,true
esbuild,6,2,5,1,false,0.18,136010,true
parcel,6,0,5,1,false,1.92,139809,true
parcel,6,1,5,1,false,1.93,139809,true
parcel,6,2,5,1,false,1.87,139809,true
parcel-css,6,0,5,1,false,1.92,139817,true
parcel-css,6,1,5,1,false,1.94,139817,true
parcel-css,6,2,5,1,false,2.02,139817,true
rollup,6,0,5,1,false,3.73,132321,true
rollup,6,1,5,1,false,3.85,132321,true
rollup,6,2,5,1,false,3.87,132321,true
rollup-terser,6,0,5,1,false,3.5,136026,true
rollup-terser,6,1,5,1,false,3.58,136026,true
rollup-terser,6,2,5,1,false,3.3,136026,true
webpack,6,0,5,1,false,3.54,139558,true
webpack,6,1,5,1,false,3.3,139558,true
webpack,6,2,5,1,false,3.46,139558,true
webpack-esbuild,6,0,5,1,false,2.21,131793,true
webpack-esbuild,6,1,5,1,false,2.07,131793,true
webpack-esbuild,6,2,5,1,false,2.04,131793,true
webpack-swc,6,0,5,1,false,2.08,138678,true
webpack-swc,6,1,5,1,false,2.12,138678,true
webpack-swc,6,2,5,1,false,2.1,138678,true
vite,6,0,5,1,false,0.89,136575,true
vite,6,1,5,1,false,0.89,136575,true
vite,6,2,5,1,false,0.86,136575,true
esbuild,156,0,5,3,false,0.18,225040,true
esbuild,156,1,5,3,false,0.18,225040,true
esbuild,156,2,5,3,false,0.18,225040,true
parcel,156,0,5,3,false,2.82,268121,true
parcel,156,1,5,3,false,2.84,268121,true
parcel,156,2,5,3,false,2.96,268121,true
parcel-css,156,0,5,3,false,2.76,268129,true
parcel-css,156,1,5,3,false,2.76,268129,true
parcel-css,156,2,5,3,false,2.71,268129,true
rollup,156,0,5,3,false,6.94,234722,true
rollup,156,1,5,3,false,7.08,234722,true
rollup,156,2,5,3,false,7.45,234722,true
rollup-terser,156,0,5,3,false,6.79,239476,true
rollup-terser,156,1,5,3,false,6.64,239476,true
rollup-terser,156,2,5,3,false,6.12,239476,true
webpack,156,0,5,3,false,6.11,284427,true
webpack,156,1,5,3,false,6.38,284427,true
webpack,156,2,5,3,false,7.03,284427,true
webpack-esbuild,156,0,5,3,false,3.29,217155,true
webpack-esbuild,156,1,5,3,false,2.98,217155,true
webpack-esbuild,156,2,5,3,false,2.95,217155,true
webpack-swc,156,0,5,3,false,5.3,431024,true
webpack-swc,156,1,5,3,false,5.14,431024,true
webpack-swc,156,2,5,3,false,5.23,431024,true
vite,156,0,5,3,false,1.25,230960,true
vite,156,1,5,3,false,1.22,230960,true
vite,156,2,5,3,false,1.22,230960,true
esbuild,3906,0,5,5,false,0.39,2487047,true
esbuild,3906,1,5,5,false,0.36,2487047,true
esbuild,3906,2,5,5,false,0.39,2487047,true
parcel,3906,0,5,5,false,18.42,3490587,true
parcel,3906,1,5,5,false,17.85,3490587,true
parcel,3906,2,5,5,false,17.85,3490587,true
parcel-css,3906,0,5,5,false,17.74,3490595,true
parcel-css,3906,1,5,5,false,17.69,3490595,true
parcel-css,3906,2,5,5,false,17.79,3490595,true
rollup,3906,0,5,5,false,77.99,2811682,true
rollup,3906,1,5,5,false,78.46,2811682,true
rollup,3906,2,5,5,false,78.66,2811682,true
rollup-terser,3906,0,5,5,false,55.33,2842702,true
rollup-terser,3906,1,5,5,false,54.43,2842702,true
rollup-terser,3906,2,5,5,false,58.34,2842702,true
webpack,3906,0,5,5,false,62.98,3931550,true
webpack,3906,1,5,5,false,63.57,3931550,true
webpack,3906,2,5,5,false,62.8,3931550,true
webpack-esbuild,3906,0,5,5,false,19.47,2369211,true
webpack-esbuild,3906,1,5,5,false,19.38,2369211,true
webpack-esbuild,3906,2,5,5,false,21.24,2369211,true
webpack-swc,3906,0,5,5,false,384.1,7781911,true
webpack-swc,3906,1,5,5,false,378.89,7781911,true
webpack-swc,3906,2,5,5,false,392.91,7781911,true
vite,3906,0,5,5,false,10.38,2608034,true
vite,3906,1,5,5,false,10.12,2608034,true
vite,3906,2,5,5,false,10.36,2608034,true
esbuild,8,0,7,1,false,0.19,137192,true
esbuild,8,1,7,1,false,0.19,137192,true
esbuild,8,2,7,1,false,0.18,137192,true
parcel,8,0,7,1,false,2,141503,true
parcel,8,1,7,1,false,1.96,141503,true
parcel,8,2,7,1,false,1.99,141503,true
parcel-css,8,0,7,1,false,1.95,141511,true
parcel-css,8,1,7,1,false,2.02,141511,true
parcel-css,8,2,7,1,false,1.98,141511,true
rollup,8,0,7,1,false,4.2,133683,true
rollup,8,1,7,1,false,4.24,133683,true
rollup,8,2,7,1,false,4.17,133683,true
rollup-terser,8,0,7,1,false,3.59,137398,true
rollup-terser,8,1,7,1,false,3.5,137398,true
rollup-terser,8,2,7,1,false,3.54,137398,true
webpack,8,0,7,1,false,3.55,141476,true
webpack,8,1,7,1,false,3.53,141476,true
webpack,8,2,7,1,false,3.56,141476,true
webpack-esbuild,8,0,7,1,false,2.25,132921,true
webpack-esbuild,8,1,7,1,false,2.25,132921,true
webpack-esbuild,8,2,7,1,false,2.24,132921,true
webpack-swc,8,0,7,1,false,2.35,142552,true
webpack-swc,8,1,7,1,false,2.35,142552,true
webpack-swc,8,2,7,1,false,2.37,142552,true
vite,8,0,7,1,false,0.97,137828,true
vite,8,1,7,1,false,0.92,137828,true
vite,8,2,7,1,false,0.92,137828,true
esbuild,400,0,7,3,false,0.2,369785,true
esbuild,400,1,7,3,false,0.21,369785,true
esbuild,400,2,7,3,false,0.21,369785,true
parcel,400,0,7,3,false,4.1,476409,true
parcel,400,1,7,3,false,4.08,476409,true
parcel,400,2,7,3,false,4.02,476409,true
parcel-css,400,0,7,3,false,4.06,476417,true
parcel-css,400,1,7,3,false,4.11,476417,true
parcel-css,400,2,7,3,false,4.09,476417,true
rollup,400,0,7,3,false,13.88,401320,true
rollup,400,1,7,3,false,11.83,401320,true
rollup,400,2,7,3,false,11.61,401320,true
rollup-terser,400,0,7,3,false,10.18,407780,true
rollup-terser,400,1,7,3,false,10.12,407780,true
rollup-terser,400,2,7,3,false,10.01,407780,true
webpack,400,0,7,3,false,11.82,520025,true
webpack,400,1,7,3,false,11.52,520025,true
webpack,400,2,7,3,false,11.33,520025,true
webpack-esbuild,400,0,7,3,false,4.5,356179,true
webpack-esbuild,400,1,7,3,false,4.54,356179,true
webpack-esbuild,400,2,7,3,false,4.58,356179,true
webpack-swc,400,0,7,3,false,11.97,906768,true
webpack-swc,400,1,7,3,false,12.1,906768,true
webpack-swc,400,2,7,3,false,11.91,906768,true
vite,400,0,7,3,false,1.93,384624,true
vite,400,1,7,3,false,1.91,384624,true
vite,400,2,7,3,false,1.87,384624,true
esbuild,19608,0,7,5,false,1.74,12037363,true
esbuild,19608,1,7,5,false,1.63,12037363,true
esbuild,19608,2,7,5,false,1.53,12037363,true
parcel,19608,0,7,5,false,108.81,16962687,true
parcel,19608,1,7,5,false,99.3,16962687,true
parcel,19608,2,7,5,false,98.94,16962687,true
parcel-css,19608,0,7,5,false,98.86,16962695,true
parcel-css,19608,1,7,5,false,95.16,16962695,true
parcel-css,19608,2,7,5,false,98.83,16962695,true
rollup,19608,0,7,5,false,278.93,0,false
rollup,19608,1,7,5,false,316.34,0,false
rollup,19608,2,7,5,false,307.55,0,false
rollup-terser,19608,0,7,5,false,329.03,0,false
rollup-terser,19608,1,7,5,false,299.91,0,false
rollup-terser,19608,2,7,5,false,283.32,0,false
webpack,19608,0,7,5,false,495.73,19260337,true
webpack,19608,1,7,5,false,465.55,19260337,true
webpack,19608,2,7,5,false,411.5,19260337,true
webpack-esbuild,19608,0,7,5,false,123.69,11408979,true
webpack-esbuild,19608,1,7,5,false,126.99,11408979,true
webpack-esbuild,19608,2,7,5,false,122.84,11408979,true
webpack-swc,19608,0,7,5,false,87.43,0,false
webpack-swc,19608,1,7,5,false,86.85,0,false
webpack-swc,19608,2,7,5,false,88.17,0,false
vite,19608,0,7,5,false,70.42,12589922,true
vite,19608,1,7,5,false,70.58,12589922,true
vite,19608,2,7,5,false,71.4,12589922,true
esbuild,10,0,9,1,false,0.21,138375,true
esbuild,10,1,9,1,false,0.22,138375,true
esbuild,10,2,9,1,false,0.23,138375,true
parcel,10,0,9,1,false,2.47,143199,true
parcel,10,1,9,1,false,2.37,143199,true
parcel,10,2,9,1,false,2.14,143199,true
parcel-css,10,0,9,1,false,2.08,143207,true
parcel-css,10,1,9,1,false,2.05,143207,true
parcel-css,10,2,9,1,false,1.94,143207,true
rollup,10,0,9,1,false,4.06,135045,true
rollup,10,1,9,1,false,4.18,135045,true
rollup,10,2,9,1,false,4.14,135045,true
rollup-terser,10,0,9,1,false,3.42,138770,true
rollup-terser,10,1,9,1,false,3.49,138770,true
rollup-terser,10,2,9,1,false,3.45,138770,true
webpack,10,0,9,1,false,3.44,143394,true
webpack,10,1,9,1,false,3.44,143394,true
webpack,10,2,9,1,false,3.4,143394,true
webpack-esbuild,10,0,9,1,false,2.21,134049,true
webpack-esbuild,10,1,9,1,false,2.27,134049,true
webpack-esbuild,10,2,9,1,false,2.16,134049,true
webpack-swc,10,0,9,1,false,2.28,146426,true
webpack-swc,10,1,9,1,false,2.59,146426,true
webpack-swc,10,2,9,1,false,2.46,146426,true
vite,10,0,9,1,false,0.91,139076,true
vite,10,1,9,1,false,0.93,139076,true
vite,10,2,9,1,false,0.95,139076,true
esbuild,820,0,9,3,false,0.22,618914,true
esbuild,820,1,9,3,false,0.23,618914,true
esbuild,820,2,9,3,false,0.23,618914,true
parcel,820,0,9,3,false,6.09,834733,true
parcel,820,1,9,3,false,6.28,834733,true
